iyear,gname
1992,Al-Qaida
1992,Al-Qaida
1998,Al-Qaida
1998,Al-Qaida
2000,Al-Qaida
2000,Al-Qaida
2001,Al-Qaida
2001,Al-Qaida
2001,Al-Qaida
2001,Al-Qaida
2001,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2002,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2003,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2004,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2005,Al-Qaida
2006,Al-Qaida
2006,Al-Qaida
2006,Al-Qaida
2007,Al-Qaida
2007,Al-Qaida
2007,Al-Qaida
2007,Al-Qaida
2008,Al-Qaida
2008,Al-Qaida
2008,Al-Qaida
2008,Al-Qaida
2010,Al-Qaida
2011,Al-Qaida
1995,Taliban
1995,Taliban
1995,Taliban
2001,Taliban
2001,Taliban
2001,Taliban
2001,Taliban
2002,Taliban
2002,Taliban
2002,Taliban
2002,Taliban
2002,Taliban
2002,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2003,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2004,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
2005,Taliban
